"anio_hecho","mes_hecho","cantidad_delitos"
"2022","Enero","2"
"2022","Marzo","2"
"2022","Abril","1"
"2023","Enero","33"
"2023","Febrero","51"
"2023","Marzo","52"
"2023","Abril","49"
"2023","Mayo","57"
"2023","Junio","46"
"2023","Julio","35"
